# This file contains the statistics of trip_distance data in NYC datasets
# There are total: 147 550 563 values, in which there are 7670 distinct values
# We also count the number of repeatation for each value as follows: 
('1674367.70', 2)
('64.40', 8)
('64.42', 1)
('64.49', 1)
('64.48', 1)
('70.10', 4)
('70.17', 1)
('70.15', 1)
('50.48', 3)
('162.40', 1)
('91.33', 1)
('0.54', 1)
('151.60', 1)
('47.02', 3)
('47.03', 5)
('47.00', 31)
('47.01', 7)
('47.06', 5)
('47.07', 5)
('47.04', 4)
('47.05', 2)
('47.08', 5)
('47.09', 2)
('118.50', 2)
('58.59', 2)
('58.58', 2)
('67.68', 1)
('67.69', 2)
('67.62', 2)
('67.60', 8)
('67.61', 1)
('67.66', 1)
('67.64', 1)
('38.75', 5)
('38.74', 11)
('38.77', 11)
('38.76', 9)
('38.71', 15)
('38.70', 96)
('38.73', 12)
('38.72', 10)
('38.79', 12)
('38.78', 6)
('39.72', 8)
('39.73', 14)
('39.70', 73)
('39.71', 5)
('39.76', 7)
('39.77', 11)
('39.74', 8)
('39.75', 8)
('53.65', 2)
('39.78', 13)
('39.79', 13)
('53.61', 2)
('53.60', 23)
('53.63', 3)
('93.78', 1)
('93.79', 1)
('4.88', 29634)
('4.89', 29539)
('4.86', 29884)
('4.87', 29644)
('4.84', 29712)
('4.85', 29761)
('4.82', 30299)
('4.83', 30010)
('4.80', 272849)
('4.81', 30116)
('17.98', 5151)
('17.99', 5143)
('17.90', 45767)
('17.91', 5292)
('17.92', 5229)
('17.93', 5238)
('17.94', 5298)
('17.95', 5196)
('17.96', 5202)
('17.97', 5065)
('25.46', 135)
('25.47', 115)
('25.44', 128)
('25.45', 114)
('25.42', 121)
('25.43', 120)
('25.40', 1066)
('25.41', 122)
('58.24', 1)
('58.25', 1)
('58.27', 2)
('58.20', 10)
('58.22', 3)
('25.49', 103)
('42.58', 6)
('24.68', 140)
('42.56', 7)
('24.66', 146)
('24.65', 129)
('42.55', 6)
('24.63', 138)
('24.62', 123)
('42.50', 44)
('24.60', 1296)
('27.48', 102)
('27.49', 106)
('27.44', 114)
('27.45', 108)
('27.46', 95)
('27.47', 104)
('27.40', 950)
('27.41', 100)
('27.42', 102)
('27.43', 104)
('40.54', 12)
('9.97', 9360)
('40.56', 8)
('9.95', 9444)
('40.50', 70)
('40.51', 7)
('9.90', 83811)
('9.91', 9420)
('40.58', 8)
('40.59', 8)
('9.98', 9243)
('9.99', 9207)
